Fasta headers,P,P,P,TPA,TPA,TPA,BHET,BHET,BHET,PET,PET,PET
DMKJLJHC_03275 30S ribosomal protein S7,-13.70624,-13.18436,-12.38887,-13.1555,-13.89933,-10.00779,-13.76634,-12.45859,-15.52181,-15.1944,-13.70459,-15.11692
DMKJLJHC_03282 DNA-directed RNA polymerase subunit beta,-15.16073,-12.1462,-13.30411,-12.89385,-14.07051,-13.14676,-13.92291,-13.86258,-13.04012,-14.66112,-12.81821,-15.14499
DMKJLJHC_03283 50S ribosomal protein L7/L12;DMKJLJHC_06764 50S ribosomal protein L7/L12,-8.175824,-8.116501,-7.915804,-8.757576,-8.076702,-9.720075,-12.95753,-13.93871,-13.66741,-13.95905,-13.49196,-14.16851
DMKJLJHC_03287 Transcription termination/antitermination protein NusG,-14.47862,-14.04088,-12.8624,-13.77225,-13.42395,-13.96421,-14.69838,-14.89977,-13.68149,-14.74212,-13.73378,-14.37101
DMKJLJHC_03300 Isoquinoline 1-oxidoreductase subunit beta,-12.03662,-11.68328,-12.23932,-12.96254,-14.34392,-13.65505,-14.39882,-14.76144,-12.81442,-13.99795,-13.51384,-13.97997
DMKJLJHC_03350 Histidinol dehydrogenase,-13.9813,-12.43138,-13.59091,-13.77648,-13.0258,-14.40595,-14.29227,-12.66968,-14.67293,-14.15582,-13.11949,-14.64289
DMKJLJHC_03366 putative lipoprotein YiaD,-8.542274,-8.511586,-9.092053,-8.228806,-8.465863,-8.238488,-9.293052,-8.026244,-8.892488,-9.576698,-10.08591,-9.145778
DMKJLJHC_03377 Succinate dehydrogenase flavoprotein subunit,-11.49975,-12.72264,-12.19164,-13.17554,-13.34835,-14.16709,-14.01159,-13.98292,-15.50945,-13.54515,-13.9503,-13.72906
DMKJLJHC_03391 hypothetical protein,-14.51129,-13.49226,-13.07104,-13.02252,-10.77836,-14.27058,-14.75671,-13.82413,-13.06721,-13.49646,-12.9522,-14.58541
"DMKJLJHC_03393 Fructose-1,6-bisphosphatase class 2",-11.34113,-13.08493,-12.74026,-13.13076,-14.15477,-13.35188,-13.92192,-13.83095,-14.17005,-14.91627,-13.82341,-13.41752
DMKJLJHC_03394 Homoserine dehydrogenase,-10.86959,-11.80361,-12.61051,-13.46312,-15.55161,-13.80248,-12.88624,-13.32023,-14.24,-14.89806,-13.08136,-13.72945
DMKJLJHC_03402 Lysine/arginine/ornithine-binding periplasmic protein,-13.6605,-13.76394,-12.5797,-7.879328,-7.598611,-8.091758,-13.25228,-7.942858,-8.617513,-8.764544,-9.052981,-8.365417
DMKJLJHC_03450 Phosphate-binding protein PstS,-14.44372,-11.82187,-12.07506,-13.39855,-13.08565,-14.12282,-12.9333,-13.42497,-14.52267,-14.70821,-14.00592,-13.37303
DMKJLJHC_03453 hypothetical protein,-7.761746,-7.941491,-8.207808,-12.23561,-11.13938,-10.9076,-10.62955,-10.55689,-11.15011,-12.49872,-11.34604,-10.87308
DMKJLJHC_03465 hypothetical protein,-10.52864,-13.38809,-13.60598,-13.32011,-10.62524,-9.342003,-10.83814,-10.26574,-10.67852,-10.88838,-13.33866,-13.65447
DMKJLJHC_03475 Purine-binding protein,-8.353382,-8.062502,-8.227205,-8.53293,-7.481536,-6.733036,-7.904474,-7.196723,-7.874477,-7.176565,-7.645385,-7.089937
DMKJLJHC_03485 Histidine--tRNA ligase,-11.93403,-13.25196,-13.19695,-13.41155,-14.54651,-13.44692,-14.03692,-14.29918,-15.04215,-13.27397,-13.29774,-13.96616
DMKJLJHC_03494 2-isopropylmalate synthase,-14.93559,-13.77416,-13.08119,-12.70739,-12.75058,-13.33504,-14.00237,-14.56469,-13.48415,-14.56558,-13.81792,-13.80786
DMKJLJHC_03520 Malate dehydrogenase,-9.915875,-10.54449,-12.39756,-12.69988,-12.0351,-13.67846,-10.85037,-14.50093,-14.16095,-13.44534,-14.09414,-13.25133
DMKJLJHC_03528 Argininosuccinate lyase,-11.74238,-11.5536,-13.6874,-12.91237,-14.74737,-14.17387,-12.93621,-14.23507,-14.62173,-13.68338,-14.90842,-12.93438
DMKJLJHC_03539 hypothetical protein;DMKJLJHC_04703 hypothetical protein,-11.8606,-13.48721,-11.84371,-12.80504,-12.92381,-13.47865,-14.21398,-14.88781,-14.52839,-14.54432,-14.4384,-13.71543
DMKJLJHC_03540 L-Ala-D/L-Glu epimerase,-9.630825,-12.30199,-12.75794,-14.05812,-15.35823,-13.03082,-13.10218,-14.25582,-14.13754,-14.2105,-12.91932,-13.89159
DMKJLJHC_03541 D-alanine aminotransferase,-15.1188,-13.93538,-14.08832,-13.58941,-13.82748,-13.50146,-13.37264,-13.98196,-13.71296,-14.79929,-13.35338,-11.947
"DMKJLJHC_03543 Hemolysin, plasmid",-9.588372,-9.059091,-13.99289,-14.20125,-14.30937,-12.06824,-14.9978,-12.66631,-14.76906,-14.59379,-12.79098,-14.92272
DMKJLJHC_03545 Pyruvate kinase,-10.72261,-11.85292,-11.82581,-13.33037,-15.5221,-12.58374,-13.93141,-13.20549,-15.04822,-13.95323,-14.07151,-12.8343
DMKJLJHC_03549 N5-carboxyaminoimidazole ribonucleotide synthase,-13.86381,-13.16236,-12.37824,-13.47053,-15.24897,-13.98624,-14.69646,-12.72079,-13.77281,-13.43218,-13.72872,-13.76792
DMKJLJHC_03603 Glutamate--tRNA ligase 1,-13.40727,-13.31415,-12.91726,-14.94448,-13.27925,-13.98058,-14.85952,-13.7809,-14.0375,-15.1148,-13.87381,-13.86622
DMKJLJHC_03605 N-acyl homoserine lactonase,-13.90466,-12.97624,-14.14654,-13.75692,-13.58385,-13.51042,-13.89164,-14.20157,-14.86513,-13.76527,-13.90713,-13.90866
DMKJLJHC_03610 Glycine dehydrogenase (decarboxylating),-12.83309,-12.9656,-13.67266,-12.97745,-12.7977,-12.21137,-14.43797,-14.14718,-14.32222,-13.8033,-13.78471,-13.71116
DMKJLJHC_03654 Transketolase 1,-11.87567,-13.37424,-14.07424,-13.00208,-13.01666,-12.29408,-14.03925,-13.92905,-14.17485,-15.48205,-13.51317,-13.96043
DMKJLJHC_03658 Aconitate hydratase A,-9.097498,-9.243115,-9.37455,-13.96702,-12.79147,-13.06021,-13.25924,-13.34815,-13.13489,-13.43216,-13.57108,-14.48058
DMKJLJHC_03717 Cell division protein FtsN,-11.36633,-10.49593,-10.93099,-11.7074,-12.2407,-12.0131,-11.74491,-11.06863,-12.12927,-12.51124,-13.64803,-11.92866
DMKJLJHC_03718 D-alanyl-D-alanine carboxypeptidase DacF,-12.47072,-13.30755,-13.4877,-13.97555,-14.04191,-13.38903,-14.23538,-13.22272,-14.26598,-14.1841,-13.64955,-13.87243
DMKJLJHC_03776 Succinate--CoA ligase [ADP-forming] subunit beta,-8.747166,-8.944256,-9.446395,-13.01086,-14.49766,-14.32057,-13.52051,-13.98164,-13.19572,-11.69062,-13.29323,-14.69796
DMKJLJHC_03777 Succinate--CoA ligase [ADP-forming] subunit alpha,-11.69234,-12.45259,-12.19977,-13.50166,-15.28725,-13.53096,-14.86075,-13.66333,-15.31649,-15.35247,-12.69218,-14.05295
DMKJLJHC_03779 2-oxoglutarate dehydrogenase E1 component,-12.26238,-13.52426,-13.3863,-12.90991,-13.54286,-12.59175,-14.73283,-12.91506,-14.28862,-14.37352,-15.11966,-14.653
DMKJLJHC_03780 Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,-9.578961,-9.929546,-10.38212,-12.82635,-11.34738,-12.77062,-11.80484,-11.23515,-12.48238,-12.90168,-11.63397,-11.78405
DMKJLJHC_03931 L-methionine gamma-lyase,-15.2473,-13.39286,-13.50268,-12.66566,-14.40948,-12.58082,-14.31242,-14.3282,-13.23511,-14.2107,-12.01502,-13.32686
DMKJLJHC_04180 DNA polymerase III subunit beta;DMKJLJHC_00612 DNA polymerase III subunit beta,-11.63221,-11.53533,-11.72427,-13.30608,-15.19669,-13.58702,-14.16178,-13.29261,-15.27444,-13.89272,-13.92693,-14.51439
DMKJLJHC_04336 Glutamine synthetase,-10.25849,-13.36693,-13.11648,-13.42245,-14.0534,-13.9325,-14.41061,-13.72612,-14.02195,-13.79688,-14.00069,-14.26676
DMKJLJHC_04991 60 kDa chaperonin,-12.09766,-13.53782,-13.74009,-13.1616,-14.13973,-14.54219,-13.07573,-13.26999,-14.41036,-14.48881,-13.28003,-13.86408
DMKJLJHC_05047 Putative phosphonates utilization ATP-binding protein PhnK,-14.54111,-13.57275,-14.03145,-13.16147,-13.7058,-12.59359,-13.61038,-13.30612,-13.56572,-13.01828,-13.84086,-13.85763
DMKJLJHC_05279 DNA-binding protein HU,-10.94768,-12.68401,-13.30798,-12.94338,-13.02417,-13.63422,-13.88414,-12.60611,-15.52898,-15.84973,-14.27384,-13.62079
DMKJLJHC_05303 Dipeptide transport system permease protein DppB,-14.73265,-13.25802,-13.30089,-13.79541,-14.19765,-13.80239,-13.96444,-7.75287,-14.37412,-14.39797,-13.17364,-13.60477
DMKJLJHC_06009 ATM1-type heavy metal exporter,-15.42143,-13.2584,-13.36326,-12.93824,-13.86754,-12.71224,-12.64696,-12.68844,-14.94625,-13.51768,-13.54301,-11.86359
